Indicador,Nombre Indicador,Clave área geográfica,Entidad,Municipio,Periodo,Valor,Excepción,Unidad de medida,Frecuencia,Information Status,Referencias
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2020/02,108.8591688,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2020/01,112.3621592,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2019/12,113.3895247,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2019/11,116.2862304,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2019/10,115.3703677,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2019/09,108.857497,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2019/08,113.2320702,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2019/07,113.3721488,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2019/06,112.8242856,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2019/05,115.2343247,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2019/04,109.8084354,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2019/03,112.2782357,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2019/02,108.831235,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2019/01,112.5139036,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/12,113.0955529,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/11,117.7194403,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/10,115.9594585,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/09,108.767749,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/08,114.3266642,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/07,112.8039937,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/06,114.4466785,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/05,115.8296436,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/04,111.6044877,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/03,111.201253,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/02,107.8140543,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2018/01,111.0174522,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2017/12,114.0009945,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2017/11,116.1806765,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2017/10,112.8492345,,Índice de volumen físico base 2013=100,Mensual,,/a  /f1  /r1  
